"area_name","pop","area_name_density","density"
"UNITED STATES",308745538,"UNITED STATES",87.4
"ALABAMA",4779736,"ALABAMA",94.4
"Autauga, AL",54571,"Autauga, AL",91.8
"Baldwin, AL",182265,"Baldwin, AL",114.6
"Barbour, AL",27457,"Barbour, AL",31
"Bibb, AL",22915,"Bibb, AL",36.8
"Blount, AL",57322,"Blount, AL",88.9
"Bullock, AL",10914,"Bullock, AL",17.5
"Butler, AL",20947,"Butler, AL",27
"Calhoun, AL",118572,"Calhoun, AL",195.7
"Chambers, AL",34215,"Chambers, AL",57.4
"Cherokee, AL",25989,"Cherokee, AL",46.9
"Chilton, AL",43643,"Chilton, AL",63
"Choctaw, AL",13859,"Choctaw, AL",15.2
"Clarke, AL",25833,"Clarke, AL",20.9
"Clay, AL",13932,"Clay, AL",23.1
"Cleburne, AL",14972,"Cleburne, AL",26.7
"Coffee, AL",49948,"Coffee, AL",73.6
"Colbert, AL",54428,"Colbert, AL",91.8
"Conecuh, AL",13228,"Conecuh, AL",15.6
"Coosa, AL",11539,"Coosa, AL",17.7
"Covington, AL",37765,"Covington, AL",36.6
"Crenshaw, AL",13906,"Crenshaw, AL",22.8
"Cullman, AL",80406,"Cullman, AL",109.4
"Dale, AL",50251,"Dale, AL",89.6
"Dallas, AL",43820,"Dallas, AL",44.8
"DeKalb, AL",71109,"DeKalb, AL",91.5
"Elmore, AL",79303,"Elmore, AL",128.2
"Escambia, AL",38319,"Escambia, AL",40.5
"Etowah, AL",104430,"Etowah, AL",195.2
"Fayette, AL",17241,"Fayette, AL",27.5
"Franklin, AL",31704,"Franklin, AL",50
"Geneva, AL",26790,"Geneva, AL",46.6
"Greene, AL",9045,"Greene, AL",14
"Hale, AL",15760,"Hale, AL",24.5
"Henry, AL",17302,"Henry, AL",30.8
"Houston, AL",101547,"Houston, AL",175.1
"Jackson, AL",53227,"Jackson, AL",49.4
"Jefferson, AL",658466,"Jefferson, AL",592.5
"Lamar, AL",14564,"Lamar, AL",24.1
"Lauderdale, AL",92709,"Lauderdale, AL",138.8
"Lawrence, AL",34339,"Lawrence, AL",49.7
"Lee, AL",140247,"Lee, AL",230.8
"Limestone, AL",82782,"Limestone, AL",147.8
"Lowndes, AL",11299,"Lowndes, AL",15.8
"Macon, AL",21452,"Macon, AL",35.2
"Madison, AL",334811,"Madison, AL",417.7
"Marengo, AL",21027,"Marengo, AL",21.5
"Marion, AL",30776,"Marion, AL",41.5
"Marshall, AL",93019,"Marshall, AL",164.4
"Mobile, AL",412992,"Mobile, AL",335.9
"Monroe, AL",23068,"Monroe, AL",22.5
"Montgomery, AL",229363,"Montgomery, AL",292.5
"Morgan, AL",119490,"Morgan, AL",206.3
"Perry, AL",10591,"Perry, AL",14.7
"Pickens, AL",19746,"Pickens, AL",22.4
"Pike, AL",32899,"Pike, AL",48.9
"Randolph, AL",22913,"Randolph, AL",39.5
"Russell, AL",52947,"Russell, AL",82.6
"St. Clair, AL",83593,"St. Clair, AL",132.3
"Shelby, AL",195085,"Shelby, AL",248.5
"Sumter, AL",13763,"Sumter, AL",15.2
"Talladega, AL",82291,"Talladega, AL",111.7
"Tallapoosa, AL",41616,"Tallapoosa, AL",58.1
"Tuscaloosa, AL",194656,"Tuscaloosa, AL",147.3
"Walker, AL",67023,"Walker, AL",84.7
"Washington, AL",17581,"Washington, AL",16.3
"Wilcox, AL",11670,"Wilcox, AL",13.1
"Winston, AL",24484,"Winston, AL",39.9
"ALASKA",710231,"ALASKA",1.2
"Aleutians East, AK",3141,"Aleutians East, AK",0.4
"Aleutians West, AK",5561,"Aleutians West, AK",1.3
"Anchorage, AK",291826,"Anchorage, AK",171.2
"Bethel, AK",17013,"Bethel, AK",0.4
"Bristol Bay, AK",997,"Bristol Bay, AK",2
"Denali, AK",1826,"Denali, AK",0.1
"Dillingham, AK",4847,"Dillingham, AK",0.3
"Fairbanks North Star, AK",97581,"Fairbanks North Star, AK",13.3
"Haines, AK",2508,"Haines, AK",1.1
"Hoonah-Angoon, AK",2150,"Hoonah-Angoon, AK",0.3
"Juneau, AK",31275,"Juneau, AK",11.6
"Kenai Peninsula, AK",55400,"Kenai Peninsula, AK",3.4
